,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR
sample_276,5.426666667,0.829259259,5.426666667,0.829259259,0.500282,107.156,98.084,107.0734993,42,0.031367248,-0.398728565,0.398728565,0.031367248,1.125,1.625,2,0.142857143,8,2,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1.57722,35.5914
sample_277,3.632491497,1.188333333,3.632491497,1.188333333,0.374401057,98.189,84.077,98.10955045,42,-0.035341466,-0.103082979,0.103082979,0.035341466,1.428571429,2.142857143,2.571428571,0.714285714,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2.7527,34.339
sample_278,2.360277778,1.03587963,2.360277778,1.03587963,0.436569532,98.189,84.077,98.10955045,42,-0.044280076,-0.062509723,0.062509723,0.044280076,1,1.571428571,1.857142857,1,7,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,2.5866,32.249
sample_279,2.261574074,0.5,2.261574074,0.5,0.438773408,100.205,84.077,100.1252005,44,-0.035953642,-0.062273543,0.062273543,0.035953642,1,1.142857143,1.142857143,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6885,34.293
sample_280,2.12037037,1.368055556,2.12037037,1.368055556,0.475757685,106.168,96.088,106.0782503,42,-0.039511492,-0.061985192,0.061985192,0.039511492,0.875,1.25,1.5,0.25,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2.30344,35.916
sample_281,3.658320578,1.194444444,3.658320578,1.194444444,0.378358623,112.216,96.088,112.1252005,48,-0.035341294,-0.103082979,0.103082979,0.035341294,1.25,2,2.5,0.75,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3.1428,38.956
sample_282,10.39484552,-0.241802721,10.39484552,0.241802721,0.600172929,150.177,140.097,150.0680796,58,0.30246072,-0.461003434,0.461003434,0.30246072,1.363636364,2,2.545454545,0.222222222,11,0,2,0,0,0,1,0,1,2,0,2,2,0,0,0,1,1.7497,41.912
sample_283,11.22463341,-0.55,11.22463341,0.210046296,0.664865161,194.186,184.106,194.0579088,74,0.338230175,-0.46539862,0.46539862,0.338230175,0.928571429,1.285714286,1.571428571,0.2,14,0,4,0,0,0,1,0,1,4,0,4,2,0,0,0,1,1.2598,49.121
sample_284,2.259259259,0.709444444,2.259259259,0.709444444,0.58232531,134.222,120.11,134.1095504,54,-0.019300892,-0.064809599,0.064809599,0.019300892,1.2,1.8,2.3,0.4,10,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,3.2001,45.148
sample_285,2.207175926,1.142851474,2.207175926,1.142851474,0.58312047,134.222,120.11,134.1095504,54,-0.030743748,-0.061294135,0.061294135,0.030743748,0.8,1.1,1.3,0.4,10,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,2.8114,45.198
sample_286,3.694651597,1.200520833,3.694651597,1.200520833,0.371151101,140.27,120.11,140.1565006,60,-0.035341293,-0.103082979,0.103082979,0.035341293,1,1.6,2.2,0.8,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3.923,48.19
sample_287,8.507012641,0.37,8.507012641,0.37,0.53804028,158.285,136.109,158.1670653,68,0.043052407,-0.396376569,0.396376569,0.043052407,0.727272727,1.181818182,1.636363636,1,11,1,1,0,0,0,0,0,0,1,1,1,8,0,0,0,0,3.1194,49.6958
sample_288,2.236111111,0.644640967,2.236111111,0.644640967,0.61770292,162.276,144.132,162.1408506,66,-0.021882047,-0.058682261,0.058682261,0.021882047,0.666666667,0.916666667,1.083333333,0.5,12,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,3.9334,54.62
sample_289,2.240740741,0.483703704,2.240740741,0.483703704,0.661630458,182.266,168.154,182.1095504,70,0.006095365,-0.062248011,0.062248011,0.006095365,0.642857143,1,1.357142857,0.142857143,14,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,2,3.8384,60.401
sample_290,2.290220142,1.372777778,2.290220142,1.372777778,0.314904724,226.448,192.176,226.2660511,98,-0.053305973,-0.065382383,0.065382383,0.053305973,0.3125,0.5,0.6875,1,16,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,6.4876,75.986
sample_291,3.270833333,0.645833333,3.270833333,0.645833333,0.430471803,122.993,115.937,121.9731123,26,0.008875443,-0.089670319,0.089670319,0.008875443,1.5,1.5,1.5,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7897,24.063
sample_292,5.530092593,-0.027777778,5.530092593,0.027777778,0.401279837,92.569,83.497,92.03927797,32,0.036211637,-0.120213327,0.120213327,0.036211637,1.2,1.2,1.2,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0237,25.606
sample_293,3.845555556,1.259259259,3.845555556,1.259259259,0.471998368,93.129,86.073,93.05784922,36,0.026993005,-0.264716634,0.264716634,0.026993005,1.285714286,1.857142857,2.142857143,0.166666667,7,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1.39002,28.974
sample_294,9.545786565,0.495694444,9.545786565,0.495694444,0.400061391,116.16,104.064,116.0837296,48,0.292575519,-0.467900988,0.467900988,0.292575519,1.5,2.25,2.75,0.833333333,8,0,2,0,0,0,0,0,0,2,0,2,5,0,0,0,0,1.3496,31.541
